set,state1,state2,state3,sliderSub1,sliderSub2,sliderSub3,sliderSub4,Type
set-2,Jenny ne peut pas s'endormir.,Jenny est impatiente que le matin arrive enfin.,Jenny se demande combien il y aura de cadeaux sous le sapin.,Jenny est nerveuse à propos de ses examens le lendemain,Jenny est inquiète pour sa mère qui est malade.,Jenny aime son lit.,Jenny est excitée à l'idée du matin de Noël.,non-filler
set-3,Fred a obtenu une note très forte à son examen.,Il n’est habituellement pas très doué à l’école.,Le professeur l’a pris à copier sur un autre étudiant.,Fred est un étudiant qui travaille fort.,Fred est vraiment intelligent.,Fred est une grenouille.,Fred est très malhonnête.,non-filler
set-4,Le travail de Michel consiste à divertir les gens.,Michel est parfois timide.,Michel s'assoit devant l'ordinateur et écrit toute la journée.,Michel est un magicien célèbre.,Michel le clown divertit les enfants à l'hôpital.,Michel est un joueur de poker.,Le travail de Michel consiste à écrire des romans.,non-filler
set-5,Richard porte parfois du maquillage.,Richard passe la majorité de son temps au théâtre.,Richard est allé à l'école de théâtre.,"Richard est un ""drag-queen"".",Richard est préoccupé par ses cicatrices.,Richard souhaiterait avoir une femme.,Richard est un comédien.,non-filler
set-6,Parfois Véronique rentre à la maison en larmes.,Véronique n'a pas beaucoup d'amis.,Véronique a peur des élèves de sa classe.,Véronique est toujours trop dramatique.,Véronique souffre des effets secondaires de sa médication.,Véronique aime arroser les plantes avec ses larmes.,Véronique est intimidée à l'école.,Filler
set-7,Nicole a énormément de volonté.,Nicole adore les défis.,Nicole est très en forme.,Nicole étudie toute la nuit.,Nicole est une ancienne alcoolique.,Nicole mange seulement des bonbons rouges.,Nicole est une championne marathonienne.,non-filler
set-10,Émilie reste à la maison ce soir.,Émilie pense que les hommes ne sont pas fiables.,Émilie a attendu des heures que son ami arrive pour leur sortie.,Émilie est punie.,Émilie souffre d'une infection.,Émilie porte toujours ses pyjamas.,Émilie s'est fait laisser tomber par son ami.,Filler
set-11,Tom et Michel crient.,Tom et Michel ont la nausée.,Tom et Michel ont trop mangé de barbe à papa aujourd'hui.,Tom et Michel sont à une partie de basketball.,Tom et Michel ont trouvé un corps mort dans la ruelle.,Tom et Michel apprécient être le centre d'intérêt.,Tom et Michel ont du plaisir dans les montagnes russes.,non-filler
set-12,Étienne est surpris.,La valise d'Étienne est faite.,Étienne est très malade et ne peut plus vivre à la maison.,L'épouse d'Étienne l'emmène en vacances.,Étienne s'est fait expulser parce qu'il faisait trop de party.,Étienne dort à poings fermés.,Étienne a besoin qu'on le soigne.,non-filler
set-14,Stella répond au téléphone à son travail.,Stella est une femme puissante.,Stella est allée à l'école de Droit.,Stella est une secrétaire.,Stella est une opératrice du 911.,Stella est une gardienne.,Stella est avocate.,non-filler
set-15,Alice est impatiente de prendre l’autobus.,Alice n’a pas eu le temps de faire ses bagages.,Alice a vraiment peur de son méchant beau père.,Alice va en vacances.,Alice s’en va à un collège loin de chez elle.,Alice aime envoyer la main aux gens.,Alice se sauve de chez elle.,Filler
set-16,Amy incite les enfants à faire de l'exercice.,Amy est très protectrice envers les enfants.,"À la maison, Amy jappe bruyamment lorsqu'on sonne à la porte.",Amy est professeure d'éducation physique.,Amy est une mère très active.,Amy n'est pas une personne affectueuse.,Amy est un chien.,non-filler
set-17,L’homme doit faire des heures supplémentaires.,Beaucoup de gens dépendent de lui.,L’homme donne son temps et ses habiletés pour aider les autres dans le besoin.,L’homme désire une promotion.,L’homme a de la difficulté à faire vivre sa famille.,L’homme est paresseux.,L’homme est un bénévole.,non-filler
set-18,Joanne n’entre plus dans ses vêtements d’été.,La famille de Joanne veut l’aider.,Joanne a vraiment hâte de voir son nouveau bébé.,Joanne va aller s’acheter une nouvelle garde-robe.,Joanne désire perdre du poids.,La température hivernale fait rapetisser Joanne.,Joanne est enceinte.,Filler
set-19,Daniel est très chanceux.,Daniel a toujours souhaité que ça arrive.,Daniel va toujours se souvenir du jour où il l’a demandée en mariage.,Daniel a eu des billets pour voir son groupe favori.,Daniel vient de gagner à la loterie.,Daniel a glissé sur une peau de banane.,Daniel s’est marié.,non-filler
set-21,Henry est très créatif.,Henry a une équipe d'assistants.,Le restaurant de Henry est le plus populaire de la ville.,Henry est un peintre.,Henry est un fraudeur.,Henry est un fermier.,Henry est un chef cuisinier.,non-filler